nome,grupo,bandeira_url
México,A,https://s.sde.globo.com/media/organizations/2022/12/01/Mexico.svg
África do Sul,A,https://s.sde.globo.com/media/organizations/2019/09/09/%C3%81frica_do_Sul.svg
Coreia do Sul,A,https://s.sde.globo.com/media/organizations/2019/09/01/Coreia_do_Sul.svg
República Tcheca,A,https://s.sde.globo.com/media/organizations/2019/09/03/Rep._Tcheca_u3JArFF.svg
Canadá,B,https://s.sde.globo.com/media/organizations/2022/12/01/Canada.svg
Bósnia e Herzegovina,B,https://s.sde.globo.com/media/organizations/2019/09/15/B%C3%B3snia.svg
Catar,B,https://s.sde.globo.com/media/organizations/2019/09/06/Catar.svg
Suíça,B,https://s.sde.globo.com/media/organizations/2022/12/01/Suica.svg
Brasil,C,https://s.sde.globo.com/media/organizations/2019/07/16/Brasil_rgYHF6Z.svg
Marrocos,C,https://s.sde.globo.com/media/organizations/2019/09/10/Marrocos.svg
Haiti,C,https://s.sde.globo.com/media/organizations/2019/07/14/Haiti.svg
Escócia,C,https://s.sde.globo.com/media/organizations/2019/09/15/Esc%C3%B3cia.svg
Estados Unidos,D,https://s.sde.globo.com/media/organizations/2019/07/16/Estados_Unidos.svg
Paraguai,D,https://s.sde.globo.com/media/organizations/2019/07/15/Paraguai.svg
Austrália,D,https://s.sde.globo.com/media/organizations/2019/09/02/Australia.svg
Turquia,D,https://s.sde.globo.com/media/organizations/2019/09/03/Turquia_i5NWJC8.svg
Alemanha,E,https://s.sde.globo.com/media/organizations/2019/09/03/Alemanha.svg
Curaçao,E,https://s.sde.globo.com/media/organizations/2019/07/14/Cura%C3%A7ao.svg
Costa do Marfim,E,https://s.sde.globo.com/media/organizations/2019/09/03/Costa_do_Marfim.svg
Equador,E,https://s.sde.globo.com/media/organizations/2019/07/15/Equador.svg
Holanda,F,https://s.sde.globo.com/media/organizations/2019/09/16/Holanda.svg
Japão,F,https://s.sde.globo.com/media/organizations/2019/09/03/Japao.svg
Suécia,F,https://s.sde.globo.com/media/organizations/2019/09/15/Su%C3%A9cia.svg
Tunísia,F,https://s.sde.globo.com/media/organizations/2024/05/02/Tunisia.svg
Bélgica,G,https://s.sde.globo.com/media/organizations/2022/12/01/Belgica.svg
Egito,G,https://s.sde.globo.com/media/organizations/2019/09/08/Egito.svg
Irã,G,https://s.sde.globo.com/media/organizations/2019/09/01/Ir%C3%A3.svg
Nova Zelândia,G,https://s.sde.globo.com/media/organizations/2019/09/01/Nova_Zelandia.svg
Espanha,H,https://s.sde.globo.com/media/organizations/2019/09/03/Espanha.svg
Cabo Verde,H,https://s.sde.globo.com/media/organizations/2019/09/08/Cabo_Verde.svg
Arábia Saudita,H,https://s.sde.globo.com/media/organizations/2022/12/01/Arabia_Saudita.svg
Uruguai,H,https://s.sde.globo.com/media/organizations/2019/07/16/Uruguai.svg
França,I,https://s.sde.globo.com/media/organizations/2022/12/01/Franca.svg
Senegal,I,https://s.sde.globo.com/media/organizations/2019/09/03/Senegal.svg
Iraque,I,https://s.sde.globo.com/media/organizations/2019/09/07/Iraque.svg
Noruega,I,https://s.sde.globo.com/media/organizations/2019/09/15/Noruega.svg
Argentina,J,https://s.sde.globo.com/media/organizations/2019/07/15/Argentina.svg
Argélia,J,https://s.sde.globo.com/media/organizations/2019/09/08/Arg%C3%A9lia.svg
Áustria,J,https://s.sde.globo.com/media/organizations/2019/09/17/%C3%81ustria.svg
Jordânia,J,https://s.sde.globo.com/media/organizations/2019/09/03/Jordania.svg
Portugal,K,https://s.sde.globo.com/media/organizations/2019/09/17/Portugal.svg
RD Congo,K,https://s.sde.globo.com/media/organizations/2019/09/10/RD_Congo.svg
Uzbequistão,K,https://s.sde.globo.com/media/organizations/2019/09/08/Uzbequist%C3%A3o.svg
Colômbia,K,https://s.sde.globo.com/media/organizations/2019/07/14/Colombia.svg
Inglaterra,L,https://s.sde.globo.com/media/organizations/2019/09/13/Inglaterra.svg
Croácia,L,https://s.sde.globo.com/media/organizations/2022/12/01/Croacia.svg
Panamá,L,https://s.sde.globo.com/media/organizations/2019/09/08/Gana.svg
Gana,L,https://s.sde.globo.com/media/organizations/2019/07/16/Panam%C3%A1.svg
