time_a_id,time_b_id,data_hora,fase,status
1,2,2026-06-11 16:00:00-03,Grupos,pendente
3,4,2026-06-11 23:00:00-03,Grupos,pendente
5,6,2026-06-12 16:00:00-03,Grupos,pendente
13,14,2026-06-12 22:00:00-03,Grupos,pendente
7,8,2026-06-13 16:00:00-03,Grupos,pendente
9,10,2026-06-13 19:00:00-03,Grupos,pendente
11,12,2026-06-13 22:00:00-03,Grupos,pendente
15,16,2026-06-14 01:00:00-03,Grupos,pendente
17,18,2026-06-14 14:00:00-03,Grupos,pendente
21,22,2026-06-14 17:00:00-03,Grupos,pendente
19,20,2026-06-14 20:00:00-03,Grupos,pendente
23,24,2026-06-14 23:00:00-03,Grupos,pendente
29,30,2026-06-15 13:00:00-03,Grupos,pendente
25,26,2026-06-15 16:00:00-03,Grupos,pendente
31,32,2026-06-15 19:00:00-03,Grupos,pendente
27,28,2026-06-15 22:00:00-03,Grupos,pendente
33,34,2026-06-16 16:00:00-03,Grupos,pendente
35,36,2026-06-16 19:00:00-03,Grupos,pendente
37,38,2026-06-16 22:00:00-03,Grupos,pendente
39,40,2026-06-17 01:00:00-03,Grupos,pendente
41,42,2026-06-17 14:00:00-03,Grupos,pendente
45,46,2026-06-17 17:00:00-03,Grupos,pendente
48,47,2026-06-17 20:30:00-03,Grupos,pendente
43,44,2026-06-17 23:00:00-03,Grupos,pendente
4,2,2026-06-18 13:00:00-03,Grupos,pendente
8,6,2026-06-18 16:00:00-03,Grupos,pendente
5,7,2026-06-18 19:00:00-03,Grupos,pendente
1,3,2026-06-18 22:00:00-03,Grupos,pendente
13,15,2026-06-19 16:00:00-03,Grupos,pendente
12,10,2026-06-19 19:00:00-03,Grupos,pendente
9,11,2026-06-19 21:30:00-03,Grupos,pendente
16,14,2026-06-20 01:00:00-03,Grupos,pendente
21,23,2026-06-20 14:00:00-03,Grupos,pendente
17,19,2026-06-20 17:00:00-03,Grupos,pendente
20,18,2026-06-20 21:00:00-03,Grupos,pendente
24,22,2026-06-21 01:00:00-03,Grupos,pendente
29,31,2026-06-21 13:00:00-03,Grupos,pendente
25,27,2026-06-21 16:00:00-03,Grupos,pendente
32,30,2026-06-21 19:00:00-03,Grupos,pendente
28,26,2026-06-21 23:00:00-03,Grupos,pendente
33,35,2026-06-22 16:00:00-03,Grupos,pendente
36,34,2026-06-22 19:00:00-03,Grupos,pendente
37,39,2026-06-22 14:00:00-03,Grupos,pendente
40,38,2026-06-23 00:00:00-03,Grupos,pendente
41,43,2026-06-23 14:00:00-03,Grupos,pendente
45,48,2026-06-23 17:00:00-03,Grupos,pendente
47,46,2026-06-23 20:00:00-03,Grupos,pendente
44,42,2026-06-23 23:00:00-03,Grupos,pendente
8,5,2026-06-24 16:00:00-03,Grupos,pendente
6,7,2026-06-24 16:00:00-03,Grupos,pendente
12,9,2026-06-24 19:00:00-03,Grupos,pendente
10,11,2026-06-24 19:00:00-03,Grupos,pendente
4,1,2026-06-24 22:00:00-03,Grupos,pendente
2,3,2026-06-24 22:00:00-03,Grupos,pendente
20,17,2026-06-25 17:00:00-03,Grupos,pendente
18,19,2026-06-25 17:00:00-03,Grupos,pendente
22,23,2026-06-25 20:00:00-03,Grupos,pendente
24,21,2026-06-25 20:00:00-03,Grupos,pendente
16,13,2026-06-25 23:00:00-03,Grupos,pendente
14,15,2026-06-25 23:00:00-03,Grupos,pendente
36,33,2026-06-26 16:00:00-03,Grupos,pendente
34,35,2026-06-26 16:00:00-03,Grupos,pendente
30,31,2026-06-26 21:00:00-03,Grupos,pendente
32,29,2026-06-26 21:00:00-03,Grupos,pendente
28,25,2026-06-27 00:00:00-03,Grupos,pendente
26,27,2026-06-27 00:00:00-03,Grupos,pendente
47,45,2026-06-27 18:00:00-03,Grupos,pendente
46,48,2026-06-27 18:00:00-03,Grupos,pendente
44,41,2026-06-27 20:30:00-03,Grupos,pendente
42,43,2026-06-27 20:30:00-03,Grupos,pendente
37,40,2026-06-27 23:00:00-03,Grupos,pendente
38,39,2026-06-27 23:00:00-03,Grupos,pendente
